No.,Insurance undertaking,category,value,Tabelle,year
116,UNIQA Österreich Vers. AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
121,BAWAG P.S.K. Versicherung AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
123,Helvetia Versicherungen AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
126,DONAU Versicherung AG VIG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
127,SPARKASSEN Vers. AG VIG,Intangible assets,3638000,"Table 1:  Balance sheet, assets (Life insurance)",2017
128,GENERALI Versicherung AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
129,NIEDERÖSTERREICHISCHE Vers. AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
135,GRAWE Versicherung AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
140,HYPO Versicherung AG,Intangible assets,14000,"Table 1:  Balance sheet, assets (Life insurance)",2017
141,Kärntner Landes V.a.G.,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
142,ZÜRICH Versicherungs-AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
145,MERKUR Versicherung AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
150,ÖBV V.a.G.,Intangible assets,327000,"Table 1:  Balance sheet, assets (Life insurance)",2017
159,TIROLER VERSICHERUNG V.a.G. ,Intangible assets,6000,"Table 1:  Balance sheet, assets (Life insurance)",2017
165,ERGO Versicherung AG,Intangible assets,3180000,"Table 1:  Balance sheet, assets (Life insurance)",2017
167,VORARLBERGER V.a.G.,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
169,OBERÖSTERREICHISCHE Vers. AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
170,Allianz Leben Vers. AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
173,WIENER STÄDTISCHE Vers. AG,Intangible assets,26000,"Table 1:  Balance sheet, assets (Life insurance)",2017
176,WÜSTENROT Vers. AG,Intangible assets,175000,"Table 1:  Balance sheet, assets (Life insurance)",2017
177,APK Versicherung AG,Intangible assets,107000,"Table 1:  Balance sheet, assets (Life insurance)",2017
185,Nürnberger Versicherung AG,Intangible assets,127000,"Table 1:  Balance sheet, assets (Life insurance)",2017
195,FWU Life Insurance Austria AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
116,UNIQA Österreich Vers. AG,Land and buildings,409748000,"Table 1:  Balance sheet, assets (Life insurance)",2017
121,BAWAG P.S.K. Versicherung AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
123,Helvetia Versicherungen AG,Land and buildings,58056000,"Table 1:  Balance sheet, assets (Life insurance)",2017
126,DONAU Versicherung AG VIG,Land and buildings,78910000,"Table 1:  Balance sheet, assets (Life insurance)",2017
127,SPARKASSEN Vers. AG VIG,Land and buildings,53036000,"Table 1:  Balance sheet, assets (Life insurance)",2017
128,GENERALI Versicherung AG,Land and buildings,308433000,"Table 1:  Balance sheet, assets (Life insurance)",2017
129,NIEDERÖSTERREICHISCHE Vers. AG,Land and buildings,102832000,"Table 1:  Balance sheet, assets (Life insurance)",2017
135,GRAWE Versicherung AG,Land and buildings,159090000,"Table 1:  Balance sheet, assets (Life insurance)",2017
140,HYPO Versicherung AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
141,Kärntner Landes V.a.G.,Land and buildings,136000,"Table 1:  Balance sheet, assets (Life insurance)",2017
142,ZÜRICH Versicherungs-AG,Land and buildings,146744000,"Table 1:  Balance sheet, assets (Life insurance)",2017
145,MERKUR Versicherung AG,Land and buildings,19683000,"Table 1:  Balance sheet, assets (Life insurance)",2017
150,ÖBV V.a.G.,Land and buildings,138913000,"Table 1:  Balance sheet, assets (Life insurance)",2017
159,TIROLER VERSICHERUNG V.a.G. ,Land and buildings,8286000,"Table 1:  Balance sheet, assets (Life insurance)",2017
165,ERGO Versicherung AG,Land and buildings,90359000,"Table 1:  Balance sheet, assets (Life insurance)",2017
167,VORARLBERGER V.a.G.,Land and buildings,15836000,"Table 1:  Balance sheet, assets (Life insurance)",2017
169,OBERÖSTERREICHISCHE Vers. AG,Land and buildings,67024000,"Table 1:  Balance sheet, assets (Life insurance)",2017
170,Allianz Leben Vers. AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
173,WIENER STÄDTISCHE Vers. AG,Land and buildings,258028000,"Table 1:  Balance sheet, assets (Life insurance)",2017
176,WÜSTENROT Vers. AG,Land and buildings,230822000,"Table 1:  Balance sheet, assets (Life insurance)",2017
177,APK Versicherung AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
185,Nürnberger Versicherung AG,Land and buildings,6895000,"Table 1:  Balance sheet, assets (Life insurance)",2017
195,FWU Life Insurance Austria AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
116,UNIQA Österreich Vers. AG,Shares in affiliated undertakings,447879000,"Table 1:  Balance sheet, assets (Life insurance)",2017
121,BAWAG P.S.K. Versicherung AG,Shares in affiliated undertakings,44899000,"Table 1:  Balance sheet, assets (Life insurance)",2017
123,Helvetia Versicherungen AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
126,DONAU Versicherung AG VIG,Shares in affiliated undertakings,24266000,"Table 1:  Balance sheet, assets (Life insurance)",2017
127,SPARKASSEN Vers. AG VIG,Shares in affiliated undertakings,140888000,"Table 1:  Balance sheet, assets (Life insurance)",2017
128,GENERALI Versicherung AG,Shares in affiliated undertakings,351476000,"Table 1:  Balance sheet, assets (Life insurance)",2017
129,NIEDERÖSTERREICHISCHE Vers. AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
135,GRAWE Versicherung AG,Shares in affiliated undertakings,6949000,"Table 1:  Balance sheet, assets (Life insurance)",2017
140,HYPO Versicherung AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
141,Kärntner Landes V.a.G.,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
142,ZÜRICH Versicherungs-AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
145,MERKUR Versicherung AG,Shares in affiliated undertakings,5181000,"Table 1:  Balance sheet, assets (Life insurance)",2017
150,ÖBV V.a.G.,Shares in affiliated undertakings,36647000,"Table 1:  Balance sheet, assets (Life insurance)",2017
159,TIROLER VERSICHERUNG V.a.G. ,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
165,ERGO Versicherung AG,Shares in affiliated undertakings,14891000,"Table 1:  Balance sheet, assets (Life insurance)",2017
167,VORARLBERGER V.a.G.,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
169,OBERÖSTERREICHISCHE Vers. AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
170,Allianz Leben Vers. AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
173,WIENER STÄDTISCHE Vers. AG,Shares in affiliated undertakings,365543000,"Table 1:  Balance sheet, assets (Life insurance)",2017
176,WÜSTENROT Vers. AG,Shares in affiliated undertakings,62052000,"Table 1:  Balance sheet, assets (Life insurance)",2017
177,APK Versicherung AG,Shares in affiliated undertakings,173000,"Table 1:  Balance sheet, assets (Life insurance)",2017
185,Nürnberger Versicherung AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
195,FWU Life Insurance Austria AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
116,UNIQA Österreich Vers. AG,Debt securities issued by and loans to affiliated undertakings,221414000,"Table 1:  Balance sheet, assets (Life insurance)",2017
121,BAWAG P.S.K. Versicherung AG,Debt securities issued by and loans to affiliated undertakings,18641000,"Table 1:  Balance sheet, assets (Life insurance)",2017
123,Helvetia Versicherungen AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
126,DONAU Versicherung AG VIG,Debt securities issued by and loans to affiliated undertakings,69937000,"Table 1:  Balance sheet, assets (Life insurance)",2017
127,SPARKASSEN Vers. AG VIG,Debt securities issued by and loans to affiliated undertakings,237815000,"Table 1:  Balance sheet, assets (Life insurance)",2017
128,GENERALI Versicherung AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
129,NIEDERÖSTERREICHISCHE Vers. AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
135,GRAWE Versicherung AG,Debt securities issued by and loans to affiliated undertakings,30128000,"Table 1:  Balance sheet, assets (Life insurance)",2017
140,HYPO Versicherung AG,Debt securities issued by and loans to affiliated undertakings,5e+05,"Table 1:  Balance sheet, assets (Life insurance)",2017
141,Kärntner Landes V.a.G.,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
142,ZÜRICH Versicherungs-AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
145,MERKUR Versicherung AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
150,ÖBV V.a.G.,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2017
