No.,Insurance undertaking,category,value,Tabelle,year
116,UNIQA Österreich Versicherungen AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
121,BAWAG P.S.K. Versicherung AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
123,Helvetia Versicherungen AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
126,DONAU Versicherung AG VIG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
128,GENERALI Versicherung AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
129,NIEDERÖSTERREICHISCHE Vers. AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
135,GRAWE Versicherung AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
140,HYPO Versicherung AG,Intangible assets,12000,"Table 1:  Balance sheet, assets (Life insurance)",2019
141,Kärntner Landes V.a.G.,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
142,ZÜRICH Versicherungs-AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
145,MERKUR Versicherung AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
150,ÖBV V.a.G.,Intangible assets,175000,"Table 1:  Balance sheet, assets (Life insurance)",2019
159,TIROLER VERSICHERUNG V.a.G. ,Intangible assets,2000,"Table 1:  Balance sheet, assets (Life insurance)",2019
165,ERGO Versicherung AG,Intangible assets,2439000,"Table 1:  Balance sheet, assets (Life insurance)",2019
167,VORARLBERGER V.a.G.,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
169,OBERÖSTERREICHISCHE Vers. AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
170,Allianz Leben Vers. AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
173,WIENER STÄDTISCHE Vers. AG,Intangible assets,2751000,"Table 1:  Balance sheet, assets (Life insurance)",2019
176,WÜSTENROT Vers. AG,Intangible assets,150000,"Table 1:  Balance sheet, assets (Life insurance)",2019
177,APK Versicherung AG,Intangible assets,347000,"Table 1:  Balance sheet, assets (Life insurance)",2019
185,Nürnberger Versicherung AG,Intangible assets,78000,"Table 1:  Balance sheet, assets (Life insurance)",2019
195,FWU Life Insurance Austria AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
116,UNIQA Österreich Versicherungen AG,Land and buildings,382494000,"Table 1:  Balance sheet, assets (Life insurance)",2019
121,BAWAG P.S.K. Versicherung AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
123,Helvetia Versicherungen AG,Land and buildings,93882000,"Table 1:  Balance sheet, assets (Life insurance)",2019
126,DONAU Versicherung AG VIG,Land and buildings,97847000,"Table 1:  Balance sheet, assets (Life insurance)",2019
128,GENERALI Versicherung AG,Land and buildings,292450000,"Table 1:  Balance sheet, assets (Life insurance)",2019
129,NIEDERÖSTERREICHISCHE Vers. AG,Land and buildings,102465000,"Table 1:  Balance sheet, assets (Life insurance)",2019
135,GRAWE Versicherung AG,Land and buildings,173529000,"Table 1:  Balance sheet, assets (Life insurance)",2019
140,HYPO Versicherung AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
141,Kärntner Landes V.a.G.,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
142,ZÜRICH Versicherungs-AG,Land and buildings,143571000,"Table 1:  Balance sheet, assets (Life insurance)",2019
145,MERKUR Versicherung AG,Land and buildings,19201000,"Table 1:  Balance sheet, assets (Life insurance)",2019
150,ÖBV V.a.G.,Land and buildings,139816000,"Table 1:  Balance sheet, assets (Life insurance)",2019
159,TIROLER VERSICHERUNG V.a.G. ,Land and buildings,18413000,"Table 1:  Balance sheet, assets (Life insurance)",2019
165,ERGO Versicherung AG,Land and buildings,86992000,"Table 1:  Balance sheet, assets (Life insurance)",2019
167,VORARLBERGER V.a.G.,Land and buildings,15316000,"Table 1:  Balance sheet, assets (Life insurance)",2019
169,OBERÖSTERREICHISCHE Vers. AG,Land and buildings,74475000,"Table 1:  Balance sheet, assets (Life insurance)",2019
170,Allianz Leben Vers. AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
173,WIENER STÄDTISCHE Vers. AG,Land and buildings,317153000,"Table 1:  Balance sheet, assets (Life insurance)",2019
176,WÜSTENROT Vers. AG,Land and buildings,249370000,"Table 1:  Balance sheet, assets (Life insurance)",2019
177,APK Versicherung AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
185,Nürnberger Versicherung AG,Land and buildings,6508000,"Table 1:  Balance sheet, assets (Life insurance)",2019
195,FWU Life Insurance Austria AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
116,UNIQA Österreich Versicherungen AG,Shares in affiliated undertakings,408783000,"Table 1:  Balance sheet, assets (Life insurance)",2019
121,BAWAG P.S.K. Versicherung AG,Shares in affiliated undertakings,75396000,"Table 1:  Balance sheet, assets (Life insurance)",2019
123,Helvetia Versicherungen AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
126,DONAU Versicherung AG VIG,Shares in affiliated undertakings,32590000,"Table 1:  Balance sheet, assets (Life insurance)",2019
128,GENERALI Versicherung AG,Shares in affiliated undertakings,391341000,"Table 1:  Balance sheet, assets (Life insurance)",2019
129,NIEDERÖSTERREICHISCHE Vers. AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
135,GRAWE Versicherung AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
140,HYPO Versicherung AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
141,Kärntner Landes V.a.G.,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
142,ZÜRICH Versicherungs-AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
145,MERKUR Versicherung AG,Shares in affiliated undertakings,5181000,"Table 1:  Balance sheet, assets (Life insurance)",2019
150,ÖBV V.a.G.,Shares in affiliated undertakings,104291000,"Table 1:  Balance sheet, assets (Life insurance)",2019
159,TIROLER VERSICHERUNG V.a.G. ,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
165,ERGO Versicherung AG,Shares in affiliated undertakings,12715000,"Table 1:  Balance sheet, assets (Life insurance)",2019
167,VORARLBERGER V.a.G.,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
169,OBERÖSTERREICHISCHE Vers. AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2019
