No.,Insurance undertaking,category,value,Tabelle,year
116,UNIQA Österreich Vers. AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
121,BAWAG P.S.K. Versicherung AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
123,Helvetia Versicherungen AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
126,DONAU Versicherung AG VIG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
127,SPARKASSEN Vers. AG VIG,Intangible assets,2356000,"Table 1:  Balance sheet, assets (Life insurance)",2016
128,GENERALI Versicherung AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
129,NIEDERÖSTERREICHISCHE Vers. AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
135,GRAWE Versicherung AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
140,HYPO Versicherung AG,Intangible assets,8000,"Table 1:  Balance sheet, assets (Life insurance)",2016
141,Kärntner Landes V.a.G.,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
142,ZÜRICH Versicherungs-AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
145,MERKUR Versicherung AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
150,ÖBV V.a.G.,Intangible assets,229000,"Table 1:  Balance sheet, assets (Life insurance)",2016
159,TIROLER VERSICHERUNG V.a.G. ,Intangible assets,9000,"Table 1:  Balance sheet, assets (Life insurance)",2016
165,ERGO Versicherung AG,Intangible assets,2356000,"Table 1:  Balance sheet, assets (Life insurance)",2016
167,VORARLBERGER V.a.G.,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
169,OBERÖSTERREICHISCHE Vers. AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
170,Allianz Leben Vers. AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
173,WIENER STÄDTISCHE Vers. AG,Intangible assets,24000,"Table 1:  Balance sheet, assets (Life insurance)",2016
176,WÜSTENROT Vers. AG,Intangible assets,127000,"Table 1:  Balance sheet, assets (Life insurance)",2016
177,APK Versicherung AG,Intangible assets,112000,"Table 1:  Balance sheet, assets (Life insurance)",2016
185,Nürnberger Versicherung AG,Intangible assets,119000,"Table 1:  Balance sheet, assets (Life insurance)",2016
195,FWU Life Insurance Austria AG,Intangible assets,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
116,UNIQA Österreich Vers. AG,Land and buildings,431289000,"Table 1:  Balance sheet, assets (Life insurance)",2016
121,BAWAG P.S.K. Versicherung AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
123,Helvetia Versicherungen AG,Land and buildings,58994000,"Table 1:  Balance sheet, assets (Life insurance)",2016
126,DONAU Versicherung AG VIG,Land and buildings,69044000,"Table 1:  Balance sheet, assets (Life insurance)",2016
127,SPARKASSEN Vers. AG VIG,Land and buildings,53426000,"Table 1:  Balance sheet, assets (Life insurance)",2016
128,GENERALI Versicherung AG,Land and buildings,311377000,"Table 1:  Balance sheet, assets (Life insurance)",2016
129,NIEDERÖSTERREICHISCHE Vers. AG,Land and buildings,104585000,"Table 1:  Balance sheet, assets (Life insurance)",2016
135,GRAWE Versicherung AG,Land and buildings,144975000,"Table 1:  Balance sheet, assets (Life insurance)",2016
140,HYPO Versicherung AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
141,Kärntner Landes V.a.G.,Land and buildings,138000,"Table 1:  Balance sheet, assets (Life insurance)",2016
142,ZÜRICH Versicherungs-AG,Land and buildings,149573000,"Table 1:  Balance sheet, assets (Life insurance)",2016
145,MERKUR Versicherung AG,Land and buildings,19860000,"Table 1:  Balance sheet, assets (Life insurance)",2016
150,ÖBV V.a.G.,Land and buildings,140358000,"Table 1:  Balance sheet, assets (Life insurance)",2016
159,TIROLER VERSICHERUNG V.a.G. ,Land and buildings,8300000,"Table 1:  Balance sheet, assets (Life insurance)",2016
165,ERGO Versicherung AG,Land and buildings,91436000,"Table 1:  Balance sheet, assets (Life insurance)",2016
167,VORARLBERGER V.a.G.,Land and buildings,16116000,"Table 1:  Balance sheet, assets (Life insurance)",2016
169,OBERÖSTERREICHISCHE Vers. AG,Land and buildings,68548000,"Table 1:  Balance sheet, assets (Life insurance)",2016
170,Allianz Leben Vers. AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
173,WIENER STÄDTISCHE Vers. AG,Land and buildings,257220000,"Table 1:  Balance sheet, assets (Life insurance)",2016
176,WÜSTENROT Vers. AG,Land and buildings,198337000,"Table 1:  Balance sheet, assets (Life insurance)",2016
177,APK Versicherung AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
185,Nürnberger Versicherung AG,Land and buildings,7097000,"Table 1:  Balance sheet, assets (Life insurance)",2016
195,FWU Life Insurance Austria AG,Land and buildings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
116,UNIQA Österreich Vers. AG,Shares in affiliated undertakings,420870000,"Table 1:  Balance sheet, assets (Life insurance)",2016
121,BAWAG P.S.K. Versicherung AG,Shares in affiliated undertakings,26141000,"Table 1:  Balance sheet, assets (Life insurance)",2016
123,Helvetia Versicherungen AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
126,DONAU Versicherung AG VIG,Shares in affiliated undertakings,24266000,"Table 1:  Balance sheet, assets (Life insurance)",2016
127,SPARKASSEN Vers. AG VIG,Shares in affiliated undertakings,79377000,"Table 1:  Balance sheet, assets (Life insurance)",2016
128,GENERALI Versicherung AG,Shares in affiliated undertakings,342560000,"Table 1:  Balance sheet, assets (Life insurance)",2016
129,NIEDERÖSTERREICHISCHE Vers. AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
135,GRAWE Versicherung AG,Shares in affiliated undertakings,6949000,"Table 1:  Balance sheet, assets (Life insurance)",2016
140,HYPO Versicherung AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
141,Kärntner Landes V.a.G.,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
142,ZÜRICH Versicherungs-AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
145,MERKUR Versicherung AG,Shares in affiliated undertakings,15452000,"Table 1:  Balance sheet, assets (Life insurance)",2016
150,ÖBV V.a.G.,Shares in affiliated undertakings,16047000,"Table 1:  Balance sheet, assets (Life insurance)",2016
159,TIROLER VERSICHERUNG V.a.G. ,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
165,ERGO Versicherung AG,Shares in affiliated undertakings,16449000,"Table 1:  Balance sheet, assets (Life insurance)",2016
167,VORARLBERGER V.a.G.,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
169,OBERÖSTERREICHISCHE Vers. AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
170,Allianz Leben Vers. AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
173,WIENER STÄDTISCHE Vers. AG,Shares in affiliated undertakings,364685000,"Table 1:  Balance sheet, assets (Life insurance)",2016
176,WÜSTENROT Vers. AG,Shares in affiliated undertakings,63433000,"Table 1:  Balance sheet, assets (Life insurance)",2016
177,APK Versicherung AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
185,Nürnberger Versicherung AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
195,FWU Life Insurance Austria AG,Shares in affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
116,UNIQA Österreich Vers. AG,Debt securities issued by and loans to affiliated undertakings,250587000,"Table 1:  Balance sheet, assets (Life insurance)",2016
121,BAWAG P.S.K. Versicherung AG,Debt securities issued by and loans to affiliated undertakings,12635000,"Table 1:  Balance sheet, assets (Life insurance)",2016
123,Helvetia Versicherungen AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
126,DONAU Versicherung AG VIG,Debt securities issued by and loans to affiliated undertakings,72836000,"Table 1:  Balance sheet, assets (Life insurance)",2016
127,SPARKASSEN Vers. AG VIG,Debt securities issued by and loans to affiliated undertakings,242166000,"Table 1:  Balance sheet, assets (Life insurance)",2016
128,GENERALI Versicherung AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
129,NIEDERÖSTERREICHISCHE Vers. AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
135,GRAWE Versicherung AG,Debt securities issued by and loans to affiliated undertakings,31702000,"Table 1:  Balance sheet, assets (Life insurance)",2016
140,HYPO Versicherung AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
141,Kärntner Landes V.a.G.,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
142,ZÜRICH Versicherungs-AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
145,MERKUR Versicherung AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
150,ÖBV V.a.G.,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
159,TIROLER VERSICHERUNG V.a.G. ,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
165,ERGO Versicherung AG,Debt securities issued by and loans to affiliated undertakings,90585000,"Table 1:  Balance sheet, assets (Life insurance)",2016
167,VORARLBERGER V.a.G.,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
169,OBERÖSTERREICHISCHE Vers. AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
170,Allianz Leben Vers. AG,Debt securities issued by and loans to affiliated undertakings,37167000,"Table 1:  Balance sheet, assets (Life insurance)",2016
173,WIENER STÄDTISCHE Vers. AG,Debt securities issued by and loans to affiliated undertakings,373329000,"Table 1:  Balance sheet, assets (Life insurance)",2016
176,WÜSTENROT Vers. AG,Debt securities issued by and loans to affiliated undertakings,62578000,"Table 1:  Balance sheet, assets (Life insurance)",2016
177,APK Versicherung AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
185,Nürnberger Versicherung AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
195,FWU Life Insurance Austria AG,Debt securities issued by and loans to affiliated undertakings,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
116,UNIQA Österreich Vers. AG,Participating interests,274811000,"Table 1:  Balance sheet, assets (Life insurance)",2016
121,BAWAG P.S.K. Versicherung AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
123,Helvetia Versicherungen AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
126,DONAU Versicherung AG VIG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
127,SPARKASSEN Vers. AG VIG,Participating interests,49873000,"Table 1:  Balance sheet, assets (Life insurance)",2016
128,GENERALI Versicherung AG,Participating interests,17643000,"Table 1:  Balance sheet, assets (Life insurance)",2016
129,NIEDERÖSTERREICHISCHE Vers. AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
135,GRAWE Versicherung AG,Participating interests,996000,"Table 1:  Balance sheet, assets (Life insurance)",2016
140,HYPO Versicherung AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
141,Kärntner Landes V.a.G.,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
142,ZÜRICH Versicherungs-AG,Participating interests,8218000,"Table 1:  Balance sheet, assets (Life insurance)",2016
145,MERKUR Versicherung AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
150,ÖBV V.a.G.,Participating interests,7380000,"Table 1:  Balance sheet, assets (Life insurance)",2016
159,TIROLER VERSICHERUNG V.a.G. ,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
165,ERGO Versicherung AG,Participating interests,9305000,"Table 1:  Balance sheet, assets (Life insurance)",2016
167,VORARLBERGER V.a.G.,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
169,OBERÖSTERREICHISCHE Vers. AG,Participating interests,12244000,"Table 1:  Balance sheet, assets (Life insurance)",2016
170,Allianz Leben Vers. AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
173,WIENER STÄDTISCHE Vers. AG,Participating interests,30536000,"Table 1:  Balance sheet, assets (Life insurance)",2016
176,WÜSTENROT Vers. AG,Participating interests,1618000,"Table 1:  Balance sheet, assets (Life insurance)",2016
177,APK Versicherung AG,Participating interests,173000,"Table 1:  Balance sheet, assets (Life insurance)",2016
185,Nürnberger Versicherung AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
195,FWU Life Insurance Austria AG,Participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
116,UNIQA Österreich Vers. AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
121,BAWAG P.S.K. Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
123,Helvetia Versicherungen AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
126,DONAU Versicherung AG VIG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
127,SPARKASSEN Vers. AG VIG,Debt securitis and loans related to participating interests,32168000,"Table 1:  Balance sheet, assets (Life insurance)",2016
128,GENERALI Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
129,NIEDERÖSTERREICHISCHE Vers. AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
135,GRAWE Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
140,HYPO Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
141,Kärntner Landes V.a.G.,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
142,ZÜRICH Versicherungs-AG,Debt securitis and loans related to participating interests,13750000,"Table 1:  Balance sheet, assets (Life insurance)",2016
145,MERKUR Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
150,ÖBV V.a.G.,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
159,TIROLER VERSICHERUNG V.a.G. ,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
165,ERGO Versicherung AG,Debt securitis and loans related to participating interests,118772000,"Table 1:  Balance sheet, assets (Life insurance)",2016
167,VORARLBERGER V.a.G.,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
169,OBERÖSTERREICHISCHE Vers. AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
170,Allianz Leben Vers. AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
173,WIENER STÄDTISCHE Vers. AG,Debt securitis and loans related to participating interests,13614000,"Table 1:  Balance sheet, assets (Life insurance)",2016
176,WÜSTENROT Vers. AG,Debt securitis and loans related to participating interests,1939000,"Table 1:  Balance sheet, assets (Life insurance)",2016
177,APK Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
185,Nürnberger Versicherung AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
195,FWU Life Insurance Austria AG,Debt securitis and loans related to participating interests,0,"Table 1:  Balance sheet, assets (Life insurance)",2016
116,UNIQA Österreich Vers. AG,Shares and other variable yieldsecurities,391605000,"Table 1:  Balance sheet, assets (Life insurance)",2016
121,BAWAG P.S.K. Versicherung AG,Shares and other variable yieldsecurities,169521000,"Table 1:  Balance sheet, assets (Life insurance)",2016
