VU- Nr.,Versicherungsunternehmen,Kategorie,value,Tabelle,year
116,UNIQA Österreich Vers. AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
121,BAWAG P.S.K. Versicherung AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
123,Helvetia Versicherungen AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
126,DONAU Versicherung AG VIG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
128,GENERALI Versicherung AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
129,NIEDERÖSTERREICHISCHE Vers. AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
135,GRAWE Versicherung AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
140,HYPO Versicherung AG,Immaterielle Vermögensgegenstände,19000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
141,Kärntner Landes V.a.G.,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
142,ZÜRICH Versicherungs-AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
145,MERKUR Versicherung AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
150,ÖBV V.a.G.,Immaterielle Vermögensgegenstände,337000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
159,TIROLER VERSICHERUNG V.a.G. ,Immaterielle Vermögensgegenstände,4000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
165,ERGO Versicherung AG,Immaterielle Vermögensgegenstände,3192000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
167,VORARLBERGER V.a.G.,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
169,OBERÖSTERREICHISCHE Vers. AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
170,Allianz Leben Vers. AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
173,WIENER STÄDTISCHE Vers. AG,Immaterielle Vermögensgegenstände,3934000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
176,WÜSTENROT Vers. AG,Immaterielle Vermögensgegenstände,135000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
177,APK Versicherung AG,Immaterielle Vermögensgegenstände,79000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
185,Nürnberger Versicherung AG,Immaterielle Vermögensgegenstände,86000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
195,FWU Life Insurance Austria AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
116,UNIQA Österreich Vers. AG,Grundstücke und Bauten,398131000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
121,BAWAG P.S.K. Versicherung AG,Grundstücke und Bauten,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
123,Helvetia Versicherungen AG,Grundstücke und Bauten,74264000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
126,DONAU Versicherung AG VIG,Grundstücke und Bauten,92548000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
128,GENERALI Versicherung AG,Grundstücke und Bauten,302618000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
129,NIEDERÖSTERREICHISCHE Vers. AG,Grundstücke und Bauten,101906000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
135,GRAWE Versicherung AG,Grundstücke und Bauten,175529000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
140,HYPO Versicherung AG,Grundstücke und Bauten,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
141,Kärntner Landes V.a.G.,Grundstücke und Bauten,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
142,ZÜRICH Versicherungs-AG,Grundstücke und Bauten,144664000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
145,MERKUR Versicherung AG,Grundstücke und Bauten,19478000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
150,ÖBV V.a.G.,Grundstücke und Bauten,139747000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
159,TIROLER VERSICHERUNG V.a.G. ,Grundstücke und Bauten,8130000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
165,ERGO Versicherung AG,Grundstücke und Bauten,88587000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
167,VORARLBERGER V.a.G.,Grundstücke und Bauten,15593000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
169,OBERÖSTERREICHISCHE Vers. AG,Grundstücke und Bauten,65618000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
170,Allianz Leben Vers. AG,Grundstücke und Bauten,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
173,WIENER STÄDTISCHE Vers. AG,Grundstücke und Bauten,311811000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
176,WÜSTENROT Vers. AG,Grundstücke und Bauten,247487000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
177,APK Versicherung AG,Grundstücke und Bauten,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
185,Nürnberger Versicherung AG,Grundstücke und Bauten,6692000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
195,FWU Life Insurance Austria AG,Grundstücke und Bauten,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
116,UNIQA Österreich Vers. AG,Anteile an verbundenen Unternehmen,436041000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
121,BAWAG P.S.K. Versicherung AG,Anteile an verbundenen Unternehmen,70414000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
123,Helvetia Versicherungen AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
126,DONAU Versicherung AG VIG,Anteile an verbundenen Unternehmen,24266000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
128,GENERALI Versicherung AG,Anteile an verbundenen Unternehmen,372833000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
129,NIEDERÖSTERREICHISCHE Vers. AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
135,GRAWE Versicherung AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
140,HYPO Versicherung AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
141,Kärntner Landes V.a.G.,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
142,ZÜRICH Versicherungs-AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
145,MERKUR Versicherung AG,Anteile an verbundenen Unternehmen,5181000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
150,ÖBV V.a.G.,Anteile an verbundenen Unternehmen,95781000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
159,TIROLER VERSICHERUNG V.a.G. ,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
165,ERGO Versicherung AG,Anteile an verbundenen Unternehmen,13424000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
167,VORARLBERGER V.a.G.,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
169,OBERÖSTERREICHISCHE Vers. AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
170,Allianz Leben Vers. AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
173,WIENER STÄDTISCHE Vers. AG,Anteile an verbundenen Unternehmen,537298000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
176,WÜSTENROT Vers. AG,Anteile an verbundenen Unternehmen,60887000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
177,APK Versicherung AG,Anteile an verbundenen Unternehmen,173000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
185,Nürnberger Versicherung AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
195,FWU Life Insurance Austria AG,Anteile an verbundenen Unternehmen,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
116,UNIQA Österreich Vers. AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,211043000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
121,BAWAG P.S.K. Versicherung AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,31171000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
123,Helvetia Versicherungen AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
126,DONAU Versicherung AG VIG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,69260000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
128,GENERALI Versicherung AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
129,NIEDERÖSTERREICHISCHE Vers. AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
135,GRAWE Versicherung AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,28543000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
140,HYPO Versicherung AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,5e+05,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
141,Kärntner Landes V.a.G.,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
142,ZÜRICH Versicherungs-AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
145,MERKUR Versicherung AG,Schuldverschreibungen von verbund. Untern. und Darlehen an verb. Untern.,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2018
