VU- Nr.,Versicherungsunternehmen,Kategorie,value,Tabelle,year
116,UNIQA Österreich Vers. AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
121,BAWAG P.S.K. Versicherung AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
123,Helvetia Versicherungen AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
126,DONAU Versicherung AG VIG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
127,SPARKASSEN Vers. AG VIG,Immaterielle Vermögensgegenstände,2356000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
128,GENERALI Versicherung AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
129,NIEDERÖSTERREICHISCHE Vers. AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
135,GRAWE Versicherung AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
140,HYPO Versicherung AG,Immaterielle Vermögensgegenstände,8000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
141,Kärntner Landes V.a.G.,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
142,ZÜRICH Versicherungs-AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
145,MERKUR Versicherung AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
150,ÖBV V.a.G.,Immaterielle Vermögensgegenstände,229000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
159,TIROLER VERSICHERUNG V.a.G. ,Immaterielle Vermögensgegenstände,9000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
165,ERGO Versicherung AG,Immaterielle Vermögensgegenstände,2356000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
167,VORARLBERGER V.a.G.,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
169,OBERÖSTERREICHISCHE Vers. AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
170,Allianz Leben Vers. AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
173,WIENER STÄDTISCHE Vers. AG,Immaterielle Vermögensgegenstände,24000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
176,WÜSTENROT Vers. AG,Immaterielle Vermögensgegenstände,127000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
177,APK Versicherung AG,Immaterielle Vermögensgegenstände,112000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
185,Nürnberger Versicherung AG,Immaterielle Vermögensgegenstände,119000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
195,FWU Life Insurance Austria AG,Immaterielle Vermögensgegenstände,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
116,UNIQA Österreich Vers. AG,Grundstücke und Bauten,431289000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
121,BAWAG P.S.K. Versicherung AG,Grundstücke und Bauten,0,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
123,Helvetia Versicherungen AG,Grundstücke und Bauten,58994000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
126,DONAU Versicherung AG VIG,Grundstücke und Bauten,69044000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
127,SPARKASSEN Vers. AG VIG,Grundstücke und Bauten,53426000,"Tabelle 1:  Bilanz, Aktiva (Lebensversicherung)",2016
